year,month,day,solar_irradiation,temperature,humidity,dew_point,wind_speed,City,temp_dew_gap,heat_index
2020,6,1,3.88,31.31,58.28,21.69,1.28,Mumbai,9.62,58.1054
2020,6,2,1.97,29.82,62.21,21.21,2.75,Mumbai,8.61,58.79655
2020,6,3,2.22,27.43,83.91,24.4,6.49,Mumbai,3.03,68.45005
2020,6,4,4.03,27.52,86.55,25.05,4.68,Mumbai,2.47,70.00525
2020,6,5,6.38,28.31,76.93,23.23,3.56,Mumbai,5.08,65.45615
2020,6,6,6.45,28.56,81.92,24.91,4.34,Mumbai,3.65,68.4756
2020,6,7,6.2,28.16,86.05,25.49,3.02,Mumbai,2.67,70.36775
2020,6,8,5.37,28.03,71.22,21.33,2.9,Mumbai,6.7,62.0071
2020,6,9,5.91,27.18,77.16,22.66,3.48,Mumbai,4.52,64.4538
2020,6,10,6.6,27.66,80.35,23.83,3.27,Mumbai,3.83,66.70425
2020,6,11,5.26,28.43,82.36,24.96,3.23,Mumbai,3.47,68.5898
2020,6,12,4.39,28.2,84.66,25.23,3.13,Mumbai,2.97,69.6363
2020,6,13,4.28,27.44,86.42,24.91,2.72,Mumbai,2.53,69.8531
2020,6,14,5.49,28.01,86.01,25.35,2.95,Mumbai,2.66,70.19555
2020,6,15,3.52,27.91,89.08,25.89,3.52,Mumbai,2.02,71.7994
2020,6,16,5.05,27.3,88.45,25.17,3.05,Mumbai,2.13,70.83975
2020,6,17,5.48,28,87.97,25.74,3.92,Mumbai,2.26,71.27335
2020,6,18,3.2,27.89,89.35,25.93,5.33,Mumbai,1.96,71.92925
2020,6,19,6.09,28.42,86.48,25.85,3.94,Mumbai,2.57,70.8664
2020,6,20,6.3,28.22,86.23,25.61,4.09,Mumbai,2.61,70.52765
2020,6,21,6.5,27.89,86.94,25.45,3.9,Mumbai,2.44,70.5917
2020,6,22,6.01,28.34,83.01,25.03,4.31,Mumbai,3.31,68.86055
2020,6,23,5.86,28.27,83.62,25.05,4.67,Mumbai,3.22,69.1291
2020,6,24,6.42,28.29,82.83,24.88,3.96,Mumbai,3.41,68.71065
2020,6,25,6.8,28.64,84.3,25.55,2.86,Mumbai,3.09,69.8765
2020,6,26,4.79,27.52,86.53,25.01,2.34,Mumbai,2.51,69.99415
2020,6,27,6.19,27.8,85.26,24.99,2.57,Mumbai,2.81,69.5693
2020,6,28,5.65,28.14,85.23,25.32,2.24,Mumbai,2.82,69.89265
2020,6,29,5.74,28.24,87.13,25.78,2.74,Mumbai,2.46,71.04715
2020,6,30,6.09,27.09,89.18,25.1,2.79,Mumbai,1.99,71.0349
2020,7,1,5.14,27.28,85.97,24.65,4.02,Mumbai,2.63,69.44335
2020,7,2,5.33,27.92,86.44,25.34,4.53,Mumbai,2.58,70.3442
2020,7,3,2.77,27.1,91.29,25.56,5.95,Mumbai,1.54,72.21595
2020,7,4,1.86,27.12,91.44,25.62,5.84,Mumbai,1.5,72.3192
2020,7,5,2.03,26.79,91.21,25.25,7.32,Mumbai,1.54,71.86155
2020,7,6,3.19,27.61,89.34,25.68,8.25,Mumbai,1.93,71.6437
2020,7,7,4.44,27.3,90.92,25.68,7.73,Mumbai,1.62,72.2106
